É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/04/25 00:17:23

,,èºëO,èºëO,èºëO,èºëO
2019,2,6.2,1,êºñkêº,1
2019,3,5.6,1,êºñkêº,1
2019,4,4.1,1,êºñkêº,1
2019,5,3.4,1,êºñkêº,1
2019,6,3.9,1,ìå,1
2019,7,4.3,1,ìå,1
2019,8,4.2,1,ìå,1
2019,9,3.7,1,êºñkêº,1
2019,10,4.5,1,ìåñkìå,1
2019,11,6.4,1,êºñkêº,1
2019,12,6.0,1,êºñkêº,1
2020,1,5.4,1,êºñkêº,1
2020,2,5.4,1,êºñkêº,1
2020,3,5.0,1,êºñkêº,1
2020,4,5.0,1,êº,1
2020,5,4.0,1,êºñkêº,1
2020,6,3.3,1,êºñkêº,1
2020,7,3.6,1,ìå,1
2020,8,3.6,1,êº,1
2020,9,4.8,1,ìå,1
2020,10,4.8,1,êºñkêº,1
2020,11,5.8,1,êºñkêº,1
2020,12,6.7,1,êºñkêº,1
2021,1,6.8,1,êºñkêº,1
2021,2,7.2,1,êºñkêº,1
2021,3,5.2,1,êºñkêº,1
2021,4,4.3,1,êº,1
2021,5,4.0,1,êº,1
2021,6,3.7,1,ìåñkìå,1
2021,7,4.0,1,ìåñkìå,1
2021,8,4.6,1,ìåñkìå,1
2021,9,4.2,1,ìåñkìå,1
2021,10,4.0,1,êºñkêº,1
2021,11,5.7,1,êºñkêº,1
2021,12,6.7,1,êºñkêº,1
2022,1,6.4,1,êºñkêº,1
2022,2,7.0,1,êºñkêº,1
2022,3,5.1,1,êºñkêº,1
2022,4,3.9,1,êºñkêº,1
2022,5,3.6,1,êº,1
2022,6,3.9,1,ìå,1
2022,7,4.0,1,ìåñkìå,1
2022,8,3.8,1,ìå,1
2022,9,3.6,1,ìå,1
2022,10,4.1,1,ñkêº,1
2022,11,4.6,1,ñkêº,1
2022,12,6.7,1,êºñkêº,1
2023,1,6.7,1,êºñkêº,1
2023,2,5.6,1,êºñkêº,1
2023,3,4.5,1,êº,1
2023,4,5.2,1,êº,1
2023,5,3.6,1,êº,1
2023,6,3.2,1,ìåñkìå,1
2023,7,3.2,1,êºìÏêº,1
2023,8,3.5,1,ìåñkìå,1
2023,9,3.2,1,ìåñkìå,1
2023,10,4.5,1,êº,1
2023,11,6.3,1,êºñkêº,1
2023,12,6.1,1,êºñkêº,1
