　,　2009年　月平均気圧,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb
2607.0,舞鶴,10206.0,,10186.0,,10185.0,,10150.0,,10127.0,,10074.0,,10075.0,,10097.0,,10135.0,,10157.0,,10207.0,,10180.0,,10148.25,舞鶴
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,海上保安庁,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
3201.0,釜石,10168.0,,10147.0,,10157.0,,10134.0,,10122.0,,10084.0,,10075.0,,10110.0,,10141.0,,10151.0,,10198.0,,10144.0,,10135.916666666666,大船渡
3602.0,粟島,10178.0,,10164.0,,10170.0,,10142.0,,10122.0,,10075.0,,10072.0,,10100.0,,10136.0,40.0,10152.0,,10199.0,,10153.0,,10138.583333333334,酒田
3301.0,横須賀,10170.0,,10149.0,,10157.0,,10129.0,,10115.0,,10075.0,,10076.0,,10096.0,,10130.0,,10144.0,,10191.0,,10145.0,,10131.416666666666,横浜
3303.0,神津島,10166.0,,10146.0,,10156.0,,10132.0,,10116.0,,10079.0,,10089.0,,10090.0,40.0,10121.0,,10137.0,,10180.0,,10142.0,,10129.5,三宅島
3304.0,三宅島,10166.0,,10146.0,,10156.0,,10132.0,,10116.0,,10079.0,,10089.0,,10090.0,40.0,10121.0,,10137.0,,10180.0,,10142.0,,10129.5,三宅島
3305.0,千葉,10172.0,,10152.0,,10159.0,,10131.0,,10117.0,,10077.0,,10078.0,,10098.0,,10132.0,,10145.0,,10192.0,,10146.0,,10133.25,千葉
3307.0,八丈島,10171.0,,10151.0,,10160.0,,10137.0,,10120.0,,10086.0,,10101.0,,10086.0,40.0,10111.0,,10135.0,,10178.0,,10147.0,,10131.916666666666,八丈島
3308.0,横浜新港,10170.0,,10149.0,,10157.0,,10129.0,,10115.0,,10075.0,,10076.0,,10096.0,,10130.0,,10144.0,,10191.0,,10145.0,,10131.416666666666,横浜
3407.0,広島,10217.0,,10186.0,,10184.0,,10149.0,,10121.0,,10069.0,,10074.0,,10088.0,,10125.0,,10157.0,,10208.0,,10193.0,,10147.583333333334,広島
3401.0,呉,10217.0,,10186.0,,10184.0,,10151.0,,10123.0,,10071.0,,10077.0,,10090.0,,10126.0,,10157.0,,10208.0,,10193.0,,10148.583333333334,呉
3402.0,徳山,10222.0,,10186.0,,10184.0,,10153.0,,10125.0,,10070.0,,10074.0,,10088.0,,10126.0,,10159.0,,10210.0,,10198.0,,10149.583333333334,山口
3504.0,博多,10226.0,,10185.0,,10182.0,,10154.0,,10126.0,,10067.0,,10071.0,,10084.0,,10123.0,,10158.0,,10210.0,,10202.0,,10149.0,福岡
3406.0,大分,10221.0,,10184.0,,10182.0,,10151.0,,10122.0,,10069.0,,10074.0,,10086.0,,10123.0,,10156.0,,10206.0,,10196.0,,10147.5,大分
3503.0,厳原,10229.0,,10186.0,,10184.0,,10155.0,,10127.0,,10067.0,,10069.0,,10091.0,,10132.0,40.0,10161.0,,10214.0,,10203.0,,10151.5,厳原
3502.0,佐世保,10228.0,,10183.0,,10183.0,,10157.0,,10128.0,,10071.0,,10075.0,,10083.0,,10120.0,,10157.0,,10209.0,,10205.0,,10149.916666666666,佐世保
3404.0,大泊,10216.0,,10174.0,,10175.0,,10152.0,,10119.0,,10074.0,,10085.0,,10081.0,,10110.0,,10144.0,,10193.0,,10193.0,,10143.0,枕崎
3405.0,西之表,10211.0,,10172.0,,10170.0,40.0,10150.0,,10118.0,,10076.0,,10088.0,,10080.0,,10108.0,,10141.0,,10188.0,,10187.0,,10140.75,種子島
3501.0,名瀬,10215.0,,10175.0,,10167.0,,10153.0,,10121.0,,10081.0,,10092.0,,10073.0,,10099.0,,10134.0,,10182.0,,10192.0,,10140.333333333334,名瀬
3603.0,竜飛,10169.0,,10145.0,,10149.0,,10132.0,,10114.0,,10078.0,,10066.0,,10102.0,,10135.0,,10145.0,,10193.0,,10141.0,,10130.75,青森
3505.0,中之島,10211.0,,10172.0,,10170.0,40.0,10150.0,,10118.0,,10076.0,,10088.0,,10080.0,,10108.0,,10141.0,,10188.0,,10187.0,,10140.75,種子島
,,験潮場最寄りの気象官署（備考欄）における測定値です,,,,,,,,,,,,,,,,,,,,,,,,,
,,各月の右側の欄は欠測日数です（４０は日数不明）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　2009年　月平均気圧,,,,,,,,,,,,,,,,,,,,,,,,,,
,地震研究所,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
4301.0,鋸山,10169.0,,10148.0,,10157.0,40.0,10132.0,,10118.0,40.0,10076.0,40.0,10084.0,,10095.0,,10127.0,,10142.0,,10187.0,,10143.0,,10131.5,館山
4202.0,江の島,10172.0,,10153.0,,10161.0,,10136.0,,10122.0,,10082.0,,10076.0,,10108.0,,10139.0,,10150.0,,10198.0,,10148.0,,10137.083333333334,石巻
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,港湾空港技術研究所,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
4302.0,久里浜,10170.0,,10149.0,,10157.0,,10129.0,,10115.0,,10075.0,,10076.0,,10096.0,,10130.0,,10144.0,,10191.0,,10145.0,,10131.416666666666,横浜
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,北海道開発局,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
4701.0,松前,10166.0,,10140.0,,10142.0,,10133.0,,10112.0,,10075.0,,10065.0,,10101.0,,10134.0,,10140.0,,10189.0,,10135.0,,10127.666666666666,江差
4702,留萌港,10157.0,,10120.0,,10120.0,,10124.0,,10102.0,,10076.0,,10066.0,,10099.0,,10131.0,,10129.0,,10182.0,,10118.0,,10118.666666666666,留萌
4703,江差港,10166.0,,10140.0,,10142.0,,10133.0,,10112.0,,10075.0,,10065.0,,10101.0,,10134.0,,10140.0,,10189.0,,10135.0,,10127.666666666666,江差
4704,岩内港,10163.0,,10133.0,,10132.0,,10128.0,,10107.0,,10074.0,,10065.0,,10101.0,,10134.0,,10137.0,,10188.0,,10128.0,,10124.166666666666,寿都
4705,沓形港,10155.0,,10114.0,,10110.0,,10116.0,,10095.0,,10083.0,,10074.0,,10097.0,,10125.0,,10117.0,,10176.0,,10111.0,,10114.416666666666,稚内
4706,小樽港,10160.0,,10126.0,,10124.0,,10124.0,,10103.0,,10072.0,,10064.0,,10099.0,,10132.0,,10132.0,,10186.0,,10123.0,,10120.416666666666,小樽
4101,十勝港,10159.0,,10118.0,,10124.0,,10123.0,,10107.0,,10098.0,,10073.0,,10108.0,,10137.0,,10133.0,,10185.0,,10125.0,,10124.166666666666,帯広
4102,羅臼漁港,10154.0,,10113.0,,10117.0,,10123.0,,10103.0,,10094.0,,10076.0,,10106.0,,10133.0,,10127.0,,10181.0,,10119.0,,10120.5,網走
4103,厚岸漁港,10154.0,,10116.0,,10123.0,,10126.0,,10112.0,,10103.0,,10075.0,,10111.0,,10136.0,,10130.0,,10182.0,,10121.0,,10124.083333333334,釧路
4104,苫小牧東港,10164.0,,10131.0,,10135.0,,10131.0,,10116.0,,10092.0,,10072.0,,10109.0,,10139.0,,10141.0,,10188.0,,10126.0,,10128.666666666666,苫小牧
4105,苫小牧西港,10164.0,,10131.0,,10135.0,,10131.0,,10116.0,,10092.0,,10072.0,,10109.0,,10139.0,,10141.0,,10188.0,,10126.0,,10128.666666666666,苫小牧
,,,,,,,,,,,,,,,,,,,,,,,,,,単位　0.1hPa,
,地方整備局,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
4201,鹿島,10168.0,,10149.0,,10157.0,,10132.0,,10119.0,,10080.0,,10081.0,,10099.0,,10132.0,,10145.0,,10189.0,,10142.0,,10132.75,銚子
4602,酒田港,10178.0,,10164.0,,10170.0,,10142.0,,10122.0,,10075.0,,10072.0,,10100.0,,10136.0,40.0,10152.0,,10199.0,,10153.0,,10138.583333333334,酒田
4603,新潟港西港,10186.0,,10173.0,,10176.0,,10145.0,,10124.0,,10075.0,,10074.0,,10099.0,,10136.0,,10153.0,,10202.0,,10160.0,,10141.916666666666,新潟
4604,青森港,10169.0,,10145.0,,10149.0,,10132.0,,10114.0,,10078.0,,10066.0,,10102.0,,10135.0,,10145.0,,10193.0,,10141.0,,10130.75,青森
4605,金沢港,10197.0,,10180.0,,10179.0,,10147.0,,10124.0,,10073.0,,10071.0,,10095.0,,10134.0,,10153.0,,10203.0,,10170.0,,10143.833333333334,金沢
4606,七尾港,10199.0,,10181.0,,10181.0,,10147.0,,10124.0,,10074.0,,10073.0,,10096.0,,10136.0,,10154.0,,10205.0,,10171.0,,10145.083333333334,伏木
4607,伏木富山港,10199.0,,10181.0,,10181.0,,10147.0,,10124.0,,10074.0,,10073.0,,10096.0,,10136.0,,10154.0,,10205.0,,10171.0,,10145.083333333334,伏木
4610.0,むつ小川原港,10164.0,,10135.0,,10141.0,,10130.0,,10114.0,,10083.0,,10067.0,,10105.0,,10135.0,,10141.0,,10189.0,,10133.0,,10128.083333333334,むつ
4611.0,久慈港,10167.0,,10140.0,,10146.0,,10131.0,,10115.0,,10082.0,,10068.0,,10106.0,,10136.0,,10146.0,,10194.0,,10140.0,,10130.916666666666,八戸
4612.0,仙台港,10172.0,,10153.0,,10161.0,,10136.0,,10122.0,,10082.0,,10076.0,,10108.0,,10139.0,,10150.0,,10198.0,,10148.0,,10137.083333333334,石巻
4413.0,宮崎港,10213.0,,10174.0,,10176.0,,10149.0,,10118.0,,10072.0,,10080.0,,10084.0,,10117.0,,10148.0,,10196.0,,10190.0,,10143.083333333334,宮崎
4414.0,志布志港,10212.0,,10173.0,,10175.0,,10149.0,,10117.0,,10073.0,,10084.0,,10082.0,40.0,10113.0,,10144.0,,10191.0,,10187.0,,10141.666666666666,油津
,,験潮場最寄りの気象官署（備考欄）における測定値です,,,,,,,,,,,,,,,,,,,,,,,,,
,,各月の右側の欄は欠測日数です（４０は日数不明）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　2009年　月平均気圧,,,,,,,,,,,,,,,,,,,,,,,,,,
,沖縄総合事務局,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,験潮場,１月,,２月,,３月,,４月,,５月,,６月,,７月,,８月,,９月,,１０月,,１１月,,１２月,,平均,備考
