a,b,2011年　月平均潮位　　1/4,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,単位　　mm,aa,bb,cc
2605.0,深浦,気象庁,1558.0,,1436.0,,1422.0,7.0,1454.0,,1554.0,,1603.0,,1670.0,,1806.0,,1681.0,,1700.0,,1646.0,,1552.0,,1590.1666666666667,
2202.0,宮古,気象庁,1421.0,5.0,1254.0,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震
2203.0,大船渡,気象庁,2086.0,,1921.0,,－－－,,－－－,,2750.0,,2797.0,,2833.0,130.0,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震
2205.0,鮎川,気象庁,2023.0,,1868.0,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震
2204.0,小名浜,気象庁,1387.0,1.0,1242.0,,－－－,,1735.0,,1765.0,,1814.0,,1856.0,130.0,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震
2301.0,銚子漁港,気象庁,1773.0,,1626.0,,1671.0,,1687.0,,1717.0,,1776.0,,1803.0,,1877.0,,1899.0,,1851.0,,1786.0,,1766.0,34.0,1769.3333333333333,
,* 欄は欠測日数を表します（気象庁については欠測時間数）,,,,,,,,,,,,,,※1 相馬は2011年6月15日から「福島県相馬港検潮所」で暫定的な観測を再開した値。,,,,,,,,,,,,,
,月報の数値は暫定的なもので、後に変更される可能性があります（太文字は前月月報の変更箇所） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011年　月平均潮位　　2/4,,,,,,,,,,,,,,,,,,,,,,,単位　　mm,,,
番号,験潮場名,所属,１月,*,２月,*,３月,*,４月,*,５月,*,６月,*,７月,*,８月,*,９月,*,１０月,*,１１月,*,１２月,*,年平均,
2606.0,富山,気象庁,1275.0,,1156.0,,1151.0,,1171.0,,1282.0,,1375.0,,1452.0,,1570.0,,1520.0,,1484.0,,1432.0,,1330.0,,1349.8333333333333,
2302.0,布良,気象庁,1480.0,,1363.0,,1406.0,,1386.0,1.0,1427.0,,1477.0,,1490.0,,1555.0,,1588.0,,1485.0,,1495.0,,1482.0,,1469.5,
2304.0,岡田,気象庁,1521.0,,1476.0,,1483.0,,1483.0,,1527.0,,1597.0,,1578.0,,1644.0,,1684.0,,1563.0,,1597.0,,1591.0,,1562.0,
2314.0,父島,気象庁,1812.0,,1842.0,5.0,1890.0,,1928.0,,1930.0,,1908.0,,2037.0,,2066.0,,2186.0,,2103.0,,1962.0,,1854.0,,1959.8333333333333,
2308.0,内浦,気象庁,1578.0,,1528.0,,1523.0,,1532.0,,1578.0,,1702.0,,1669.0,,1723.0,,1774.0,,1643.0,,1692.0,,1664.0,,1633.8333333333333,
2309.0,清水港,気象庁,1698.0,,1657.0,,1643.0,,1645.0,,1701.0,,1823.0,,1784.0,,1851.0,,1904.0,,1774.0,,1818.0,,1786.0,,1757.0,
2310.0,舞阪,気象庁,2284.0,,2288.0,,2263.0,,2284.0,,2350.0,,2484.0,,2467.0,,2512.0,,2570.0,,2432.0,,2451.0,,2390.0,,2397.9166666666665,
2305.0,御前崎,気象庁,1883.0,,1869.0,,1844.0,,1848.0,,1909.0,,2028.0,,1997.0,,2065.0,,2115.0,,1989.0,,2026.0,,1980.0,,1962.75,
2306.0,鳥羽,気象庁,2685.0,,2695.0,,2682.0,,2722.0,,2809.0,,2943.0,,2919.0,,2976.0,,3036.0,,2884.0,,2868.0,,2786.0,,2833.75,
2307.0,尾鷲,気象庁,1374.0,,1372.0,,1361.0,,1395.0,,1448.0,,1580.0,,1564.0,,1625.0,,1694.0,,1535.0,,1525.0,,1457.0,,1494.1666666666667,
2411.0,浦神,気象庁,1382.0,,1390.0,,1374.0,,1403.0,,1450.0,,1574.0,,1560.0,,1622.0,,1706.0,,1561.0,,1562.0,,1470.0,,1504.5,
2401.0,串本,気象庁,1731.0,3.0,1694.0,,1711.0,,1721.0,,1816.0,,1908.0,,1970.0,,2053.0,,2119.0,,2009.0,,1958.0,,1881.0,,1880.9166666666667,
2405.0,洲本,気象庁,1824.0,,1792.0,,1817.0,,1849.0,,1964.0,,2085.0,,2132.0,,2201.0,,2305.0,,2171.0,,2077.0,,1979.0,,2016.3333333333333,
2410.0,白浜,気象庁,3124.0,,3096.0,,3126.0,,3139.0,,3239.0,,3340.0,,3378.0,,3443.0,,3562.0,,3460.0,,3375.0,,3296.0,,3298.1666666666665,
2603.0,西郷,気象庁,1005.0,,930.0,,922.0,,975.0,,1083.0,,1176.0,,1254.0,,1370.0,,1364.0,4.0,1282.0,,1239.0,,1109.0,,1142.4166666666667,
2602.0,境,気象庁,1238.0,,1174.0,,1191.0,6.0,1242.0,,1379.0,,1474.0,,1560.0,3.0,1669.0,,1606.0,,1558.0,,1460.0,195.0,1347.0,,1408.16666666666,
2407.0,宇野,気象庁,1699.0,,1696.0,,1714.0,,1753.0,,1878.0,,1991.0,,2041.0,,2120.0,,2232.0,,2113.0,,2017.0,,1899.0,,1929.4166666666667,
2601.0,浜田,気象庁,946.0,3.0,924.0,,929.0,,975.0,,1097.0,,1194.0,,1290.0,,1409.0,,1333.0,,1282.0,,1203.0,,1077.0,,1138.25,
2412.0,小松島,気象庁,1862.0,,1843.0,,1862.0,,1898.0,,2012.0,,2135.0,,2180.0,,2239.0,,2370.0,,2246.0,,2147.0,,2050.0,12.0,2070.3333333333335,
2406.0,高松,気象庁,1826.0,,1820.0,,1841.0,,1880.0,,2005.0,,2117.0,,2169.0,,2250.0,,2360.0,,2241.0,,2144.0,,2025.0,,2056.5,
2402.0,室戸岬,気象庁,3016.0,,3011.0,,2971.0,24.0,3005.0,57.0,3101.0,6.0,3175.0,,3225.0,,3258.0,,3393.0,4.0,3319.0,,3269.0,,3192.0,,3161.25,
2408.0,松山,気象庁,2114.0,,2107.0,,2123.0,,2148.0,,2299.0,,2354.0,,2396.0,,2498.0,,2539.0,,2445.0,,2387.0,,2271.0,,2306.75,
2404.0,宇和島,気象庁,2040.0,,2045.0,,2055.0,,2087.0,,2243.0,,2291.0,,2322.0,8.0,2407.0,,2448.0,4.0,2338.0,,2280.0,,2170.0,,2227.1666666666665,
2403.0,土佐清水,気象庁,1619.0,,1641.0,,1598.0,,1639.0,,1740.0,,1792.0,,1859.0,,1886.0,,2002.0,,1919.0,,1859.0,,1772.0,,1777.1666666666667,
2503.0,三角,気象庁,4064.0,,4118.0,,4101.0,,4140.0,,4277.0,,4391.0,,4467.0,,4544.0,,4563.0,,4440.0,,4355.0,,4216.0,,4306.333333333333,
2409.0,油津,気象庁,1408.0,4.0,1422.0,,1438.0,,1439.0,,1590.0,,1620.0,,1668.0,,1754.0,,1851.0,,1736.0,,1684.0,,1563.0,,1597.75,
2501.0,鹿児島,気象庁,1948.0,,2003.0,,1973.0,,1987.0,,2127.0,,2187.0,8.0,2280.0,,2366.0,9.0,2436.0,,2307.0,187.0,2212.0,,2094.0,,2160.0,
2502.0,枕崎,気象庁,2454.0,,2521.0,,2488.0,,2497.0,,2641.0,,2692.0,84.0,2767.0,,2855.0,,2936.0,,2805.0,18.0,2728.0,,2610.0,,2666.1666666666665,
2313.0,東京,気象庁,1933.0,,1827.0,,1886.0,45.0,1917.0,,1949.0,,2011.0,,2031.0,4.0,2085.0,,2147.0,,1969.0,,1983.0,,1941.0,42.0,1973.25,
2311.0,名古屋,気象庁,1881.0,,1893.0,,1874.0,,1927.0,,2026.0,,2169.0,,2158.0,,2213.0,,2273.0,,2084.0,,2067.0,,1986.0,,2045.9166666666667,
2413.0,和歌山,気象庁,895.0,,860.0,,880.0,,908.0,,1022.0,,1148.0,,1189.0,,1243.0,,1362.0,,1239.0,,1152.0,,1059.0,,1079.75,
2414.0,淡輪,気象庁,1797.0,,1762.0,,1788.0,,1817.0,,1927.0,,2046.0,,2095.0,,2160.0,,2270.0,,2150.0,,2061.0,,1970.0,,1986.9166666666667,
2415.0,大阪,気象庁,3569.0,,3512.0,,3549.0,,3575.0,,3689.0,,3812.0,,3859.0,,3919.0,,4019.0,,3900.0,,3812.0,,3731.0,97.0,3745.5,
2416.0,神戸,気象庁,1685.0,,1650.0,,1679.0,,1711.0,,1827.0,,1950.0,,1996.0,,2059.0,,2167.0,,2051.0,,1958.0,,1862.0,,1882.9166666666667,
2417.0,高知,気象庁,960.0,,966.0,,905.0,,968.0,,1059.0,,1171.0,,1226.0,,1243.0,,1365.0,,1267.0,,1207.0,,1118.0,,1121.25,
2504.0,那覇,気象庁,2459.0,4.0,2452.0,,2420.0,,2505.0,,2605.0,,2675.0,,2732.0,,2744.0,,2849.0,,2629.0,,2602.0,,2573.0,,2603.75,
2505.0,石垣,気象庁,1720.0,,1799.0,51.0,1731.0,,1697.0,,1865.0,,1947.0,,2040.0,,2184.0,,2037.0,,1858.0,,1795.0,,1786.0,,1871.5833333333333,
2506.0,大浦,気象庁,3736.0,,3779.0,4.0,3759.0,,3802.0,,3942.0,,4063.0,,4140.0,,4218.0,,4220.0,,4102.0,,4022.0,,3877.0,136.0,3971.6666666666665,
2507.0,口之津,気象庁,3364.0,,3410.0,,3391.0,18.0,3439.0,,3577.0,,3670.0,,3750.0,,3832.0,,3861.0,,3745.0,,3663.0,,3522.0,28.0,3602.0,
2508.0,長崎,気象庁,2708.0,5.0,2760.0,,2736.0,,2780.0,,2916.0,,3010.0,,3107.0,,3205.0,,3219.0,,3106.0,,3021.0,,2876.0,,2953.6666666666665,
,* 欄は欠測日数を表します（気象庁については欠測時間数）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月報の数値は暫定的なもので、後に変更される可能性があります（太文字は前月月報の変更箇所） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011年　月平均潮位　　3/4,,,,,,,,,,,,,,,,,,,,,,,単位　　mm,,,
番号,験潮場名,所属,１月,*,２月,*,３月,*,４月,*,５月,*,６月,*,７月,*,８月,*,９月,*,１０月,*,１１月,*,１２月,*,年平均,
2509.0,福江,気象庁,2455.0,,2508.0,,2488.0,25.0,2536.0,,2660.0,,2743.0,,2827.0,,2936.0,,2940.0,,2832.0,,2758.0,,2620.0,,2691.9166666666665,
2510.0,下関,気象庁,1801.0,,1809.0,,1809.0,,1857.0,,2000.0,,2093.0,,2167.0,,2269.0,,2255.0,,2161.0,,2087.0,11.0,1948.0,,2021.3333333333333,
2607.0,舞鶴,気象庁,1457.0,,1367.0,,1356.0,6.0,1361.0,,1498.0,,1606.0,,1698.0,,1815.0,,1740.0,4.0,1714.0,,1639.0,,1531.0,,1565.1666666666667,
3201.0,釜石,海上保安庁,2713.0,,2548.0,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震によりデータ取得不可
3602.0,粟島,海上保安庁,1116.0,,969.0,,952.0,,959.0,,1042.0,,1111.0,,1190.0,,1284.0,,1265.0,,1215.0,,1188.0,,1105.0,,1116.3333333333333,
3301.0,横須賀,海上保安庁,1595.0,1.0,1491.0,,1529.0,,1528.0,,1579.0,,1637.0,,1649.0,,1717.0,,1773.0,,1618.0,,1636.0,1.0,1609.0,,1613.4166666666667,
3303.0,神津島,海上保安庁,1889.0,,1964.0,,1808.0,,1867.0,,1950.0,,2068.0,,2007.0,,2026.0,,2155.0,,1943.0,,2098.0,,2116.0,,1990.9166666666667,
3304.0,三宅島,海上保安庁,2817.0,,2764.0,,2610.0,,2609.0,,2830.0,,2779.0,,3008.0,,2979.0,,3098.0,,2752.0,,3002.0,,3006.0,,2854.5,
3305.0,千葉,海上保安庁,1874.0,,1764.0,,1825.0,,1855.0,,1892.0,,1954.0,,1975.0,,2033.0,,2081.0,,1915.0,,1929.0,,1896.0,,1916.0833333333333,
3307.0,八丈島,海上保安庁,2075.0,,1977.0,,1676.0,,1693.0,,2025.0,,2057.0,,2358.0,,2358.0,,2360.0,,2103.0,,2197.0,,2257.0,,2094.6666666666665,
3308.0,横浜新港,海上保安庁,2312.0,1.0,2205.0,,2245.0,,2254.0,,2286.0,,2345.0,,2355.0,,2415.0,,2469.0,,2332.0,,2355.0,,2327.0,,2325.0,
3407.0,広島,海上保安庁,3083.0,,3080.0,,3090.0,,3125.0,,3282.0,,3344.0,,3397.0,,3495.0,,3540.0,3.0,3439.0,3.0,3365.0,,3242.0,,3290.1666666666665,
3401.0,呉,海上保安庁,2619.0,,2614.0,,2624.0,,2655.0,,2809.0,,2868.0,,2919.0,,3017.0,,3065.0,,2963.0,,2897.0,,2775.0,,2818.75,
3402.0,徳山,海上保安庁,2525.0,,2544.0,,2545.0,,2582.0,,2735.0,,2794.0,,2849.0,,2947.0,,2982.0,,2884.0,,2821.0,,2688.0,,2741.3333333333335,
3504.0,博多,海上保安庁,1608.0,,1607.0,,1599.0,,1651.0,,1779.0,,1875.0,,1961.0,,2066.0,,2042.0,,1952.0,,1872.0,,1738.0,,1812.5,
3406.0,大分,海上保安庁,3041.0,,3053.0,,3063.0,,3093.0,,3246.0,,3300.0,,3355.0,,3457.0,,3509.0,,3408.0,,3339.0,,3208.0,,3256.0,
3503.0,厳原,海上保安庁,1586.0,,1580.0,,1548.0,,1609.0,,1733.0,,1809.0,,1883.0,,1961.0,,2001.0,,1890.0,,1813.0,,1709.0,,1760.1666666666667,
3502.0,佐世保,海上保安庁,2564.0,,2615.0,,2594.0,,2647.0,,2785.0,,2883.0,,2967.0,,3067.0,,3061.0,,2959.0,,2874.0,,2723.0,,2811.5833333333335,
3404.0,大泊,海上保安庁,2846.0,,2877.0,,2872.0,,2877.0,,3034.0,,3060.0,2.0,3096.0,,3196.0,,3308.0,,3185.0,,3123.0,,2998.0,,3039.3333333333335,
3405.0,西之表,海上保安庁,2159.0,,2234.0,,2211.0,,2196.0,,2321.0,,2361.0,,2458.0,,2538.0,,2614.0,,2485.0,,2373.0,,2288.0,,2353.1666666666665,
3501.0,名瀬,海上保安庁,2290.0,,2317.0,,2294.0,,2414.0,,2482.0,,2610.0,,2669.0,,2696.0,,2721.0,,2497.0,,2375.0,,2410.0,,2481.25,
3603.0,竜飛,海上保安庁,1084.0,,941.0,,925.0,2.0,952.0,1.0,999.0,,1044.0,,1074.0,,1178.0,,1144.0,,1110.0,,1069.0,1.0,1032.0,,1046.0,
3505.0,中之島,海上保安庁,2094.0,,2125.0,,2069.0,,2118.0,,2148.0,,2250.0,,2342.0,,2381.0,2.0,2463.0,,2307.0,,2164.0,,2144.0,,2217.0833333333335,
4301.0,鋸山,地震研究所,1688.0,,1537.0,,1587.0,4.0,1594.0,,1659.0,,1752.0,,1782.0,,1866.0,,1919.0,,1714.0,,1745.0,,1709.0,,1712.66666666,
4202.0,江の島,地震研究所,,,,,,,,,,,,,,,,,,,,,,,,,,
4302.0,久里浜,港空研,1975.0,,1871.0,2.0,1916.0,3.0,1917.0,,1964.0,1.0,2014.0,4.0,2026.0,2.0,2092.0,1.0,－－－,14.0,－－－,27.0,2019.0,,1997.0,,1979.1,
4701.0,松前港,北海道開発局,1257.0,,1200.0,,1096.0,,1152.0,,1175.0,,1234.0,,1278.0,,1345.0,,1303.0,,1244.0,,1167.0,,1153.0,,1217.0,
4702.0,留萌港,北海道開発局,2173.0,4.0,2064.0,3.0,2068.0,5.0,2135.0,4.0,2193.0,,2248.0,,2244.0,,2345.0,,2299.0,,2274.0,,2238.0,2.0,2177.0,2.0,2204.8333333333335,
4703.0,江差港,北海道開発局,1756.0,,1621.0,,1611.0,,1645.0,,1718.0,,1778.0,,1788.0,,1888.0,,1826.0,,1799.0,,1761.0,,1712.0,,1741.9166666666,
4704.0,岩内港,北海道開発局,－－－,17.0,47.0,,47.0,,94.0,2.0,－－－,13.0,221.0,6.0,228.0,,－－－,11.0,243.0,3.0,－－－,12.0,188.0,,149.0,7.0,－－－,
4705.0,沓形港,北海道開発局,2136.0,,2040.0,,2048.0,,2082.0,,2135.0,,2207.0,,2207.0,,－－－,12.0,2284.0,2.0,2246.0,,2201.0,,2143.0,,2157.18181818,
,* 欄は欠測日数を表します（気象庁については欠測時間数）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月報の数値は暫定的なもので、後に変更される可能性があります（太文字は前月月報の変更箇所） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011年　月平均潮位　　4/4,,,,,,,,,,,,,,,,,,,,,,,単位　　mm,,,
番号,験潮場名,所属,１月,*,２月,*,３月,*,４月,*,５月,*,６月,*,７月,*,８月,*,９月,*,１０月,*,１１月,*,１２月,*,年平均,
4706.0,小樽港,北海道開発局,195.0,4.0,－－－,10.0,－－－,14.0,141.0,8.0,177.0,3.0,243.0,2.0,246.0,2.0,－－－,10.0,279.0,3.0,247.0,,202.0,,158.0,8.0,－－－,
4101.0,十勝港,北海道開発局,909.0,1.0,765.0,,－－－,21.0,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,
4102.0,羅臼漁港,北海道開発局,866.0,,664.0,,632.0,,604.0,,616.0,,663.0,,661.0,,702.0,,693.0,,671.0,,672.0,,776.0,1.0,685.0,
4103.0,厚岸漁港,北海道開発局,976.0,,829.0,,830.0,,815.0,,820.0,,858.0,,863.0,,894.0,,899.0,,863.0,,853.0,,906.0,1.0,867.1666666666666,
4104.0,苫小牧東港,北海道開発局,3262.0,,3135.0,,3124.0,4.0,3078.0,,3090.0,,3138.0,,3147.0,,3170.0,,3203.0,7.0,－－－,15.0,3082.0,,3118.0,,3140.63636363,
4105.0,苫小牧西港,北海道開発局,－－－,,－－－,,3045.0,2.0,2966.0,,2985.0,,3040.0,,3030.0,,3058.0,,3069.0,,2965.0,,2928.0,,2971.0,,3005.7,
4106.0,浦河港,北海道開発局,1188.0,,1046.0,,1046.0,4.0,1052.0,,1067.0,,1116.0,,1125.0,,1158.0,,1168.0,,1073.0,7.0,1058.0,,1114.0,,1100.9166666666667,
4107.0,室蘭港,北海道開発局,1068.0,,944.0,,927.0,2.0,954.0,,967.0,,1031.0,,1040.0,,1065.0,,1079.0,,965.0,,928.0,,961.0,,994.0833333333334,
4108.0,枝幸港,北海道開発局,675.0,,534.0,8.0,464.0,,491.0,,509.0,,567.0,,561.0,,639.0,,610.0,,575.0,,563.0,,607.0,,566.25,
4109.0,紋別港,北海道開発局,919.0,,707.0,,702.0,1.0,728.0,,744.0,,800.0,,800.0,,876.0,,845.0,,808.0,,803.0,,857.0,,799.0833333333334,
4201.0,鹿島港,地方整備局,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震によりデータ取得不可
4602.0,酒田港,地方整備局,1432.0,8.0,1273.0,1.0,1278.0,2.0,1311.0,2.0,1381.0,,1450.0,1.0,1524.0,1.0,1640.0,,1578.0,3.0,1581.0,,1530.0,,1452.0,6.0,1452.5,
4603.0,新潟港西港,地方整備局,1333.0,,1177.0,,1179.0,,1193.0,,1280.0,,1351.0,,1424.0,,1528.0,,1470.0,,1459.0,,1426.0,,1345.0,,1347.0833333333333,
4604.0,青森港,地方整備局,1936.0,,1794.0,,1778.0,2.0,1802.0,1.0,1855.0,2.0,1914.0,1.0,1962.0,,2049.0,,2006.0,,1968.0,,1910.0,,1871.0,,1903.75,
4605.0,金沢港,地方整備局,698.0,,578.0,,591.0,,612.0,,703.0,,796.0,,886.0,,1004.0,,929.0,,908.0,,851.0,,749.0,,775.4166666666666,
4606.0,七尾港,地方整備局,1406.0,,1289.0,,1279.0,,1303.0,,1416.0,,1509.0,,1593.0,,1704.0,,1654.0,,1617.0,,1560.0,,1454.0,,1482.0,
4607.0,伏木富山港,地方整備局,1812.0,,1699.0,,1690.0,,1711.0,,1828.0,,1920.0,,1999.0,,2111.0,,2074.0,,2033.0,,1998.0,,1912.0,,1898.9166666666667,
4610.0,むつ小川原港,地方整備局,1100.0,,948.0,,－－－,13.0,945.0,1.0,997.0,,1060.0,,1110.0,,1165.0,,1179.0,,1119.0,,1059.0,,－－－,13.0,1068.2,
4611.0,久慈港,地方整備局,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震によりデータ取得不可
4612.0,仙台港,地方整備局,2181.0,,2023.0,2.0,－－－,21.0,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震によりデータ取得不可
4613.0,八戸港,地方整備局,－－－,,－－－,,－－－,20.0,－－－,21.0,1094.0,,1154.0,,1202.0,,1259.0,,1280.0,,1238.0,,1175.0,,1131.0,,－－－,
